Year,Taxes,Land,added_to,Additions,equals,Total_assessments,listing_page
2021,"$10,621",N/A,+,N/A,=,"$433,663",https://www.realtor.com/realestateandhomes-detail/5605-Delwood-Dr_Austin_TX_78723_M89955-78998
2020,"$9,301","$210,000",+,"$244,111",=,"$454,111",https://www.realtor.com/realestateandhomes-detail/5605-Delwood-Dr_Austin_TX_78723_M89955-78998
2019,"$9,974",N/A,+,N/A,=,"$358,399",https://www.realtor.com/realestateandhomes-detail/5605-Delwood-Dr_Austin_TX_78723_M89955-78998
2018,"$7,934",N/A,+,N/A,=,"$325,817",https://www.realtor.com/realestateandhomes-detail/5605-Delwood-Dr_Austin_TX_78723_M89955-78998
2017,"$7,266",N/A,+,N/A,=,"$296,197",https://www.realtor.com/realestateandhomes-detail/5605-Delwood-Dr_Austin_TX_78723_M89955-78998
2016,"$6,800",N/A,+,N/A,=,"$269,270",https://www.realtor.com/realestateandhomes-detail/5605-Delwood-Dr_Austin_TX_78723_M89955-78998
2022,"$13,132","$200,000",+,"$224,900",=,"$424,900",https://www.realtor.com/realestateandhomes-detail/6215-Brookside-Dr_Austin_TX_78723_M78927-64293
2021,"$9,464","$200,000",+,"$162,407",=,"$362,407",https://www.realtor.com/realestateandhomes-detail/6215-Brookside-Dr_Austin_TX_78723_M78927-64293
2020,"$7,773","$200,000",+,"$162,407",=,"$362,407",https://www.realtor.com/realestateandhomes-detail/6215-Brookside-Dr_Austin_TX_78723_M78927-64293
2019,"$7,960","$200,000",+,"$167,404",=,"$367,404",https://www.realtor.com/realestateandhomes-detail/6215-Brookside-Dr_Austin_TX_78723_M78927-64293
2018,"$8,134","$175,000",+,"$143,761",=,"$318,761",https://www.realtor.com/realestateandhomes-detail/6215-Brookside-Dr_Austin_TX_78723_M78927-64293
2017,"$7,438","$175,000",+,"$142,493",=,"$317,493",https://www.realtor.com/realestateandhomes-detail/6215-Brookside-Dr_Austin_TX_78723_M78927-64293
2016,"$7,289","$100,000",+,"$170,944",=,"$270,944",https://www.realtor.com/realestateandhomes-detail/6215-Brookside-Dr_Austin_TX_78723_M78927-64293
2022,"$10,712",N/A,+,N/A,=,"$447,421",https://www.realtor.com/realestateandhomes-detail/1501-Broadmoor-Dr_Austin_TX_78723_M86358-88120
2021,"$9,962","$210,000",+,"$214,800",=,"$424,800",https://www.realtor.com/realestateandhomes-detail/1501-Broadmoor-Dr_Austin_TX_78723_M86358-88120
2020,"$9,111","$210,000",+,"$214,800",=,"$424,800",https://www.realtor.com/realestateandhomes-detail/1501-Broadmoor-Dr_Austin_TX_78723_M86358-88120
2019,"$9,518","$210,000",+,"$183,946",=,"$393,946",https://www.realtor.com/realestateandhomes-detail/1501-Broadmoor-Dr_Austin_TX_78723_M86358-88120
2018,"$9,937","$183,750",+,"$251,760",=,"$435,510",https://www.realtor.com/realestateandhomes-detail/1501-Broadmoor-Dr_Austin_TX_78723_M86358-88120
2017,"$9,712",N/A,+,N/A,=,"$289,625",https://www.realtor.com/realestateandhomes-detail/1501-Broadmoor-Dr_Austin_TX_78723_M86358-88120
2016,"$6,650",N/A,+,N/A,=,"$263,295",https://www.realtor.com/realestateandhomes-detail/1501-Broadmoor-Dr_Austin_TX_78723_M86358-88120
2022,"$9,022",N/A,+,N/A,=,"$376,811",https://www.realtor.com/realestateandhomes-detail/2402-Trafalgar-Dr_Austin_TX_78723_M86720-81055
2021,"$8,390","$200,000",+,"$142,555",=,"$342,555",https://www.realtor.com/realestateandhomes-detail/2402-Trafalgar-Dr_Austin_TX_78723_M86720-81055
2020,"$7,347",N/A,+,N/A,=,"$314,078",https://www.realtor.com/realestateandhomes-detail/2402-Trafalgar-Dr_Austin_TX_78723_M86720-81055
2019,"$6,898",N/A,+,N/A,=,"$285,525",https://www.realtor.com/realestateandhomes-detail/2402-Trafalgar-Dr_Austin_TX_78723_M86720-81055
2018,"$6,321",N/A,+,N/A,=,"$259,568",https://www.realtor.com/realestateandhomes-detail/2402-Trafalgar-Dr_Austin_TX_78723_M86720-81055
2017,"$5,788",N/A,+,N/A,=,"$235,971",https://www.realtor.com/realestateandhomes-detail/2402-Trafalgar-Dr_Austin_TX_78723_M86720-81055
2016,"$5,418",N/A,+,N/A,=,"$214,519",https://www.realtor.com/realestateandhomes-detail/2402-Trafalgar-Dr_Austin_TX_78723_M86720-81055
2022,"$11,071",N/A,+,N/A,=,"$333,843",https://www.realtor.com/realestateandhomes-detail/1302-Suffolk-Dr_Austin_TX_78723_M84349-95128
2021,"$7,433","$200,000",+,"$103,494",=,"$303,494",https://www.realtor.com/realestateandhomes-detail/1302-Suffolk-Dr_Austin_TX_78723_M84349-95128
2020,"$6,509",N/A,+,N/A,=,"$285,115",https://www.realtor.com/realestateandhomes-detail/1302-Suffolk-Dr_Austin_TX_78723_M84349-95128
2019,"$6,262",N/A,+,N/A,=,"$259,195",https://www.realtor.com/realestateandhomes-detail/1302-Suffolk-Dr_Austin_TX_78723_M84349-95128
2018,"$5,738",N/A,+,N/A,=,"$235,632",https://www.realtor.com/realestateandhomes-detail/1302-Suffolk-Dr_Austin_TX_78723_M84349-95128
2017,"$5,254",N/A,+,N/A,=,"$214,211",https://www.realtor.com/realestateandhomes-detail/1302-Suffolk-Dr_Austin_TX_78723_M84349-95128
2016,"$4,918",N/A,+,N/A,=,"$194,737",https://www.realtor.com/realestateandhomes-detail/1302-Suffolk-Dr_Austin_TX_78723_M84349-95128
2022,"$7,734","$160,000",+,"$83,840",=,"$243,840",https://www.realtor.com/realestateandhomes-detail/5819-Coventry-Ln_Austin_TX_78723_M86454-35906
2021,"$5,429","$160,000",+,"$36,413",=,"$196,413",https://www.realtor.com/realestateandhomes-detail/5819-Coventry-Ln_Austin_TX_78723_M86454-35906
2020,"$4,212","$160,000",+,"$36,413",=,"$196,413",https://www.realtor.com/realestateandhomes-detail/5819-Coventry-Ln_Austin_TX_78723_M86454-35906
2019,"$4,314","$140,000",+,"$76,871",=,"$216,871",https://www.realtor.com/realestateandhomes-detail/5819-Coventry-Ln_Austin_TX_78723_M86454-35906
2018,"$4,801","$140,000",+,"$76,871",=,"$216,871",https://www.realtor.com/realestateandhomes-detail/5819-Coventry-Ln_Austin_TX_78723_M86454-35906
2017,"$4,836","$22,000",+,"$80,917",=,"$102,917",https://www.realtor.com/realestateandhomes-detail/5819-Coventry-Ln_Austin_TX_78723_M86454-35906
2016,"$2,363","$22,000",+,"$93,370",=,"$115,370",https://www.realtor.com/realestateandhomes-detail/5819-Coventry-Ln_Austin_TX_78723_M86454-35906
2022,"$15,765","$210,000",+,"$316,986",=,"$526,986",https://www.realtor.com/realestateandhomes-detail/1906-Sunny-Brook-Dr_Austin_TX_78723_M86726-62788
2021,"$11,734","$210,000",+,"$287,079",=,"$497,079",https://www.realtor.com/realestateandhomes-detail/1906-Sunny-Brook-Dr_Austin_TX_78723_M86726-62788
2020,"$10,661",N/A,+,N/A,=,"$468,294",https://www.realtor.com/realestateandhomes-detail/1906-Sunny-Brook-Dr_Austin_TX_78723_M86726-62788
2019,"$10,286",N/A,+,N/A,=,"$425,722",https://www.realtor.com/realestateandhomes-detail/1906-Sunny-Brook-Dr_Austin_TX_78723_M86726-62788
2018,"$9,425",N/A,+,N/A,=,"$387,020",https://www.realtor.com/realestateandhomes-detail/1906-Sunny-Brook-Dr_Austin_TX_78723_M86726-62788
2017,"$8,631",N/A,+,N/A,=,"$351,836",https://www.realtor.com/realestateandhomes-detail/1906-Sunny-Brook-Dr_Austin_TX_78723_M86726-62788
2016,"$8,078",N/A,+,N/A,=,"$319,851",https://www.realtor.com/realestateandhomes-detail/1906-Sunny-Brook-Dr_Austin_TX_78723_M86726-62788
2022,"$12,374","$200,000",+,"$194,114",=,"$394,114",https://www.realtor.com/realestateandhomes-detail/1413-Suffolk-Dr_Austin_TX_78723_M82404-36461
2021,"$8,775","$200,000",+,"$136,181",=,"$336,181",https://www.realtor.com/realestateandhomes-detail/1413-Suffolk-Dr_Austin_TX_78723_M82404-36461
2020,"$7,210","$200,000",+,"$134,338",=,"$334,338",https://www.realtor.com/realestateandhomes-detail/1413-Suffolk-Dr_Austin_TX_78723_M82404-36461
2019,"$7,343",N/A,+,N/A,=,"$323,112",https://www.realtor.com/realestateandhomes-detail/1413-Suffolk-Dr_Austin_TX_78723_M82404-36461
2018,"$7,153","$166,250",+,"$127,488",=,"$293,738",https://www.realtor.com/realestateandhomes-detail/1413-Suffolk-Dr_Austin_TX_78723_M82404-36461
2017,"$6,550",N/A,+,N/A,=,"$268,181",https://www.realtor.com/realestateandhomes-detail/1413-Suffolk-Dr_Austin_TX_78723_M82404-36461
2016,"$6,157",N/A,+,N/A,=,"$243,801",https://www.realtor.com/realestateandhomes-detail/1413-Suffolk-Dr_Austin_TX_78723_M82404-36461
2022,"$13,907","$175,000",+,"$391,004",=,"$566,004",https://www.realtor.com/realestateandhomes-detail/6401-Betty-Cook-Dr_Austin_TX_78723_M71404-20368
2021,"$12,603","$175,000",+,"$245,000",=,"$420,000",https://www.realtor.com/realestateandhomes-detail/6401-Betty-Cook-Dr_Austin_TX_78723_M71404-20368
2020,"$9,008","$175,000",+,"$245,000",=,"$420,000",https://www.realtor.com/realestateandhomes-detail/6401-Betty-Cook-Dr_Austin_TX_78723_M71404-20368
2019,"$9,711","$175,000",+,"$183,730",=,"$358,730",https://www.realtor.com/realestateandhomes-detail/6401-Betty-Cook-Dr_Austin_TX_78723_M71404-20368
2018,"$8,441","$120,000",+,"$245,000",=,"$365,000",https://www.realtor.com/realestateandhomes-detail/6401-Betty-Cook-Dr_Austin_TX_78723_M71404-20368
2016,"$10,974","$70,000",+,N/A,=,"$70,000",https://www.realtor.com/realestateandhomes-detail/6401-Betty-Cook-Dr_Austin_TX_78723_M71404-20368
2022,"$11,751","$200,000",+,"$168,699",=,"$368,699",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78723_M89261-22985
2021,"$8,209","$200,000",+,"$118,767",=,"$318,767",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78723_M89261-22985
2020,"$6,837","$200,000",+,"$118,767",=,"$318,767",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78723_M89261-22985
2019,"$7,001","$200,000",+,"$109,383",=,"$309,383",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78723_M89261-22985
2018,"$7,149",N/A,+,N/A,=,"$280,122",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78723_M89261-22985
2017,"$6,247",N/A,+,N/A,=,"$254,656",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78723_M89261-22985
2016,"$5,847",N/A,+,N/A,=,"$231,505",https://www.realtor.com/realestateandhomes-detail/Austin_TX_78723_M89261-22985
2022,"$9,584",N/A,+,N/A,=,"$400,314",https://www.realtor.com/realestateandhomes-detail/5106-Brookdale-Ln_Austin_TX_78723_M78852-71729
2021,"$8,913","$200,000",+,"$163,922",=,"$363,922",https://www.realtor.com/realestateandhomes-detail/5106-Brookdale-Ln_Austin_TX_78723_M78852-71729
2020,"$7,805",N/A,+,N/A,=,"$345,282",https://www.realtor.com/realestateandhomes-detail/5106-Brookdale-Ln_Austin_TX_78723_M78852-71729
2019,"$7,584",N/A,+,N/A,=,"$313,893",https://www.realtor.com/realestateandhomes-detail/5106-Brookdale-Ln_Austin_TX_78723_M78852-71729
2018,"$6,949",N/A,+,N/A,=,"$285,357",https://www.realtor.com/realestateandhomes-detail/5106-Brookdale-Ln_Austin_TX_78723_M78852-71729
2017,"$6,363",N/A,+,N/A,=,"$259,415",https://www.realtor.com/realestateandhomes-detail/5106-Brookdale-Ln_Austin_TX_78723_M78852-71729
2016,"$5,956",N/A,+,N/A,=,"$235,832",https://www.realtor.com/realestateandhomes-detail/5106-Brookdale-Ln_Austin_TX_78723_M78852-71729
2022,"$8,406",N/A,+,N/A,=,"$351,109",https://www.realtor.com/realestateandhomes-detail/5401-Wellington-Dr_Austin_TX_78723_M78777-94757
2021,"$7,818","$200,000",+,"$119,190",=,"$319,190",https://www.realtor.com/realestateandhomes-detail/5401-Wellington-Dr_Austin_TX_78723_M78777-94757
2020,"$6,846","$200,000",+,"$119,190",=,"$319,190",https://www.realtor.com/realestateandhomes-detail/5401-Wellington-Dr_Austin_TX_78723_M78777-94757
2019,"$7,011","$200,000",+,"$118,952",=,"$318,952",https://www.realtor.com/realestateandhomes-detail/5401-Wellington-Dr_Austin_TX_78723_M78777-94757
2018,"$7,061","$175,000",+,"$112,410",=,"$287,410",https://www.realtor.com/realestateandhomes-detail/5401-Wellington-Dr_Austin_TX_78723_M78777-94757
2017,"$6,409","$175,000",+,"$101,036",=,"$276,036",https://www.realtor.com/realestateandhomes-detail/5401-Wellington-Dr_Austin_TX_78723_M78777-94757
2016,"$6,338","$100,000",+,"$143,605",=,"$243,605",https://www.realtor.com/realestateandhomes-detail/5401-Wellington-Dr_Austin_TX_78723_M78777-94757
2022,"$18,564",N/A,+,N/A,=,"$775,346",https://www.realtor.com/realestateandhomes-detail/1317-Westmoor-Dr_Austin_TX_78723_M89570-83279
2021,"$17,264","$200,000",+,"$504,860",=,"$704,860",https://www.realtor.com/realestateandhomes-detail/1317-Westmoor-Dr_Austin_TX_78723_M89570-83279
2020,"$15,118",N/A,+,N/A,=,"$663,622",https://www.realtor.com/realestateandhomes-detail/1317-Westmoor-Dr_Austin_TX_78723_M89570-83279
2019,"$14,576","$180,000",+,"$423,293",=,"$603,293",https://www.realtor.com/realestateandhomes-detail/1317-Westmoor-Dr_Austin_TX_78723_M89570-83279
2018,"$13,356","$157,500",+,"$404,694",=,"$562,194",https://www.realtor.com/realestateandhomes-detail/1317-Westmoor-Dr_Austin_TX_78723_M89570-83279
2017,"$12,537","$157,500",+,"$372,402",=,"$529,902",https://www.realtor.com/realestateandhomes-detail/1317-Westmoor-Dr_Austin_TX_78723_M89570-83279
2016,"$12,166",N/A,+,N/A,=,"$501,408",https://www.realtor.com/realestateandhomes-detail/1317-Westmoor-Dr_Austin_TX_78723_M89570-83279
2022,"$8,948",N/A,+,N/A,=,"$373,747",https://www.realtor.com/realestateandhomes-detail/1502-Ridgemont-Dr_Austin_TX_78723_M86997-32384
2021,"$8,322","$200,000",+,"$139,770",=,"$339,770",https://www.realtor.com/realestateandhomes-detail/1502-Ridgemont-Dr_Austin_TX_78723_M86997-32384
2020,"$7,287","$200,000",+,"$139,770",=,"$339,770",https://www.realtor.com/realestateandhomes-detail/1502-Ridgemont-Dr_Austin_TX_78723_M86997-32384
2019,"$7,463",N/A,+,N/A,=,"$338,649",https://www.realtor.com/realestateandhomes-detail/1502-Ridgemont-Dr_Austin_TX_78723_M86997-32384
2018,"$7,497",N/A,+,N/A,=,"$307,863",https://www.realtor.com/realestateandhomes-detail/1502-Ridgemont-Dr_Austin_TX_78723_M86997-32384
2017,"$6,865",N/A,+,N/A,=,"$279,875",https://www.realtor.com/realestateandhomes-detail/1502-Ridgemont-Dr_Austin_TX_78723_M86997-32384
2016,"$6,426",N/A,+,N/A,=,"$254,432",https://www.realtor.com/realestateandhomes-detail/1502-Ridgemont-Dr_Austin_TX_78723_M86997-32384
2022,"$9,212",N/A,+,N/A,=,"$384,760",https://www.realtor.com/realestateandhomes-detail/1418-Briarcliff-Blvd_Austin_TX_78723_M71242-52545
2021,"$8,567","$200,000",+,"$149,782",=,"$349,782",https://www.realtor.com/realestateandhomes-detail/1418-Briarcliff-Blvd_Austin_TX_78723_M71242-52545
2020,"$7,502","$200,000",+,"$149,782",=,"$349,782",https://www.realtor.com/realestateandhomes-detail/1418-Briarcliff-Blvd_Austin_TX_78723_M71242-52545
2019,"$7,683",N/A,+,N/A,=,"$325,428",https://www.realtor.com/realestateandhomes-detail/1418-Briarcliff-Blvd_Austin_TX_78723_M71242-52545
2018,"$7,204",N/A,+,N/A,=,"$295,844",https://www.realtor.com/realestateandhomes-detail/1418-Briarcliff-Blvd_Austin_TX_78723_M71242-52545
2017,"$6,597",N/A,+,N/A,=,"$268,949",https://www.realtor.com/realestateandhomes-detail/1418-Briarcliff-Blvd_Austin_TX_78723_M71242-52545
2016,"$6,175",N/A,+,N/A,=,"$244,499",https://www.realtor.com/realestateandhomes-detail/1418-Briarcliff-Blvd_Austin_TX_78723_M71242-52545
2022,"$11,900",N/A,+,N/A,=,"$368,720",https://www.realtor.com/realestateandhomes-detail/1311-Ridgemont-Dr_Austin_TX_78723_M88563-84924
2021,"$8,210","$200,000",+,"$135,200",=,"$335,200",https://www.realtor.com/realestateandhomes-detail/1311-Ridgemont-Dr_Austin_TX_78723_M88563-84924
2020,"$7,189",N/A,+,N/A,=,"$328,556",https://www.realtor.com/realestateandhomes-detail/1311-Ridgemont-Dr_Austin_TX_78723_M88563-84924
2019,"$7,216",N/A,+,N/A,=,"$298,687",https://www.realtor.com/realestateandhomes-detail/1311-Ridgemont-Dr_Austin_TX_78723_M88563-84924
2018,"$6,612",N/A,+,N/A,=,"$271,534",https://www.realtor.com/realestateandhomes-detail/1311-Ridgemont-Dr_Austin_TX_78723_M88563-84924
2017,"$6,055",N/A,+,N/A,=,"$246,849",https://www.realtor.com/realestateandhomes-detail/1311-Ridgemont-Dr_Austin_TX_78723_M88563-84924
2016,"$5,667",N/A,+,N/A,=,"$224,408",https://www.realtor.com/realestateandhomes-detail/1311-Ridgemont-Dr_Austin_TX_78723_M88563-84924
2022,"$27,818","$500,000",+,"$158,675",=,"$658,675",https://www.realtor.com/realestateandhomes-detail/2008-Kinney-Ave_Austin_TX_78704_M71438-21200
2021,"$14,666","$500,000",+,"$81,694",=,"$581,694",https://www.realtor.com/realestateandhomes-detail/2008-Kinney-Ave_Austin_TX_78704_M71438-21200
2020,"$12,476","$500,000",+,"$81,694",=,"$581,694",https://www.realtor.com/realestateandhomes-detail/2008-Kinney-Ave_Austin_TX_78704_M71438-21200
2019,"$12,271",N/A,+,N/A,=,"$507,906",https://www.realtor.com/realestateandhomes-detail/2008-Kinney-Ave_Austin_TX_78704_M71438-21200
2018,"$11,244",N/A,+,N/A,=,"$461,733",https://www.realtor.com/realestateandhomes-detail/2008-Kinney-Ave_Austin_TX_78704_M71438-21200
2017,"$10,297",N/A,+,N/A,=,"$419,757",https://www.realtor.com/realestateandhomes-detail/2008-Kinney-Ave_Austin_TX_78704_M71438-21200
2016,"$9,637",N/A,+,N/A,=,"$381,597",https://www.realtor.com/realestateandhomes-detail/2008-Kinney-Ave_Austin_TX_78704_M71438-21200
2022,"$19,270",N/A,+,N/A,=,"$804,844",https://www.realtor.com/realestateandhomes-detail/2105-Rabb-Glen-St_Austin_TX_78704_M83342-88551
2021,"$17,921",N/A,+,N/A,=,"$731,676",https://www.realtor.com/realestateandhomes-detail/2105-Rabb-Glen-St_Austin_TX_78704_M83342-88551
2020,"$15,693",N/A,+,N/A,=,"$665,160",https://www.realtor.com/realestateandhomes-detail/2105-Rabb-Glen-St_Austin_TX_78704_M83342-88551
2019,"$14,610",N/A,+,N/A,=,"$604,691",https://www.realtor.com/realestateandhomes-detail/2105-Rabb-Glen-St_Austin_TX_78704_M83342-88551
2018,"$13,387",N/A,+,N/A,=,"$491,747",https://www.realtor.com/realestateandhomes-detail/2105-Rabb-Glen-St_Austin_TX_78704_M83342-88551
2017,"$10,966",N/A,+,N/A,=,"$447,043",https://www.realtor.com/realestateandhomes-detail/2105-Rabb-Glen-St_Austin_TX_78704_M83342-88551
2016,"$10,264",N/A,+,N/A,=,"$406,403",https://www.realtor.com/realestateandhomes-detail/2105-Rabb-Glen-St_Austin_TX_78704_M83342-88551
2022,"$26,250","$550,000",+,"$175,770",=,"$725,770",https://www.realtor.com/realestateandhomes-detail/1607-Rabb-Rd_Austin_TX_78704_M82967-78714
2021,"$17,387","$550,000",+,"$88,900",=,"$638,900",https://www.realtor.com/realestateandhomes-detail/1607-Rabb-Rd_Austin_TX_78704_M82967-78714
2020,"$13,703","$550,000",+,"$88,900",=,"$638,900",https://www.realtor.com/realestateandhomes-detail/1607-Rabb-Rd_Austin_TX_78704_M82967-78714
2019,"$14,568","$550,000",+,"$46,475",=,"$596,475",https://www.realtor.com/realestateandhomes-detail/1607-Rabb-Rd_Austin_TX_78704_M82967-78714
2018,"$14,563","$440,000",+,"$94,486",=,"$534,486",https://www.realtor.com/realestateandhomes-detail/1607-Rabb-Rd_Austin_TX_78704_M82967-78714
2017,"$12,667","$440,000",+,"$73,164",=,"$513,164",https://www.realtor.com/realestateandhomes-detail/1607-Rabb-Rd_Austin_TX_78704_M82967-78714
2016,"$12,428","$313,500",+,"$128,500",=,"$442,000",https://www.realtor.com/realestateandhomes-detail/1607-Rabb-Rd_Austin_TX_78704_M82967-78714
2022,"$22,003",N/A,+,N/A,=,"$918,991",https://www.realtor.com/realestateandhomes-detail/2124-Bluebonnet-Ln_Austin_TX_78704_M71672-24212
2021,"$20,462","$675,000",+,"$160,446",=,"$835,446",https://www.realtor.com/realestateandhomes-detail/2124-Bluebonnet-Ln_Austin_TX_78704_M71672-24212
2020,"$17,919",N/A,+,N/A,=,"$782,533",https://www.realtor.com/realestateandhomes-detail/2124-Bluebonnet-Ln_Austin_TX_78704_M71672-24212
2019,"$17,188",N/A,+,N/A,=,"$711,394",https://www.realtor.com/realestateandhomes-detail/2124-Bluebonnet-Ln_Austin_TX_78704_M71672-24212
2018,"$15,750",N/A,+,N/A,=,"$646,722",https://www.realtor.com/realestateandhomes-detail/2124-Bluebonnet-Ln_Austin_TX_78704_M71672-24212
2017,"$14,422",N/A,+,N/A,=,"$587,929",https://www.realtor.com/realestateandhomes-detail/2124-Bluebonnet-Ln_Austin_TX_78704_M71672-24212
2016,"$13,499",N/A,+,N/A,=,"$534,481",https://www.realtor.com/realestateandhomes-detail/2124-Bluebonnet-Ln_Austin_TX_78704_M71672-24212
2022,"$15,974",N/A,+,N/A,=,"$667,158",https://www.realtor.com/realestateandhomes-detail/1800-Kinney-Ave_Austin_TX_78704_M80058-80766
2021,"$14,855","$450,000",+,"$156,507",=,"$606,507",https://www.realtor.com/realestateandhomes-detail/1800-Kinney-Ave_Austin_TX_78704_M80058-80766
2020,"$13,008",N/A,+,N/A,=,"$601,807",https://www.realtor.com/realestateandhomes-detail/1800-Kinney-Ave_Austin_TX_78704_M80058-80766
2019,"$13,218",N/A,+,N/A,=,"$547,097",https://www.realtor.com/realestateandhomes-detail/1800-Kinney-Ave_Austin_TX_78704_M80058-80766
2018,"$12,112",N/A,+,N/A,=,"$497,361",https://www.realtor.com/realestateandhomes-detail/1800-Kinney-Ave_Austin_TX_78704_M80058-80766
2017,"$11,091",N/A,+,N/A,=,"$452,146",https://www.realtor.com/realestateandhomes-detail/1800-Kinney-Ave_Austin_TX_78704_M80058-80766
2016,"$10,381",N/A,+,N/A,=,"$411,042",https://www.realtor.com/realestateandhomes-detail/1800-Kinney-Ave_Austin_TX_78704_M80058-80766
2022,"$49,522","$500,000",+,"$186,056",=,"$686,056",https://www.realtor.com/realestateandhomes-detail/1403-Garner-Ave_Austin_TX_78704_M82553-38986
2021,"$15,276","$500,000",+,"$97,033",=,"$597,033",https://www.realtor.com/realestateandhomes-detail/1403-Garner-Ave_Austin_TX_78704_M82553-38986
2020,"$12,805","$500,000",+,"$97,033",=,"$597,033",https://www.realtor.com/realestateandhomes-detail/1403-Garner-Ave_Austin_TX_78704_M82553-38986
2019,"$13,113","$500,000",+,"$99,478",=,"$599,478",https://www.realtor.com/realestateandhomes-detail/1403-Garner-Ave_Austin_TX_78704_M82553-38986
2018,"$13,272","$400,000",+,"$118,999",=,"$518,999",https://www.realtor.com/realestateandhomes-detail/1403-Garner-Ave_Austin_TX_78704_M82553-38986
2017,"$11,574","$400,000",+,"$94,145",=,"$494,145",https://www.realtor.com/realestateandhomes-detail/1403-Garner-Ave_Austin_TX_78704_M82553-38986
2016,"$11,345","$285,000",+,"$175,546",=,"$460,546",https://www.realtor.com/realestateandhomes-detail/1403-Garner-Ave_Austin_TX_78704_M82553-38986
2022,"$46,098","$500,000",+,"$779,609",=,"$1,279,609",https://www.realtor.com/realestateandhomes-detail/1404-Garner-Ave_Austin_TX_78704_M82643-27506
2021,"$28,492","$500,000",+,"$513,659",=,"$1,013,659",https://www.realtor.com/realestateandhomes-detail/1404-Garner-Ave_Austin_TX_78704_M82643-27506
2020,"$21,741",N/A,+,N/A,=,"$991,387",https://www.realtor.com/realestateandhomes-detail/1404-Garner-Ave_Austin_TX_78704_M82643-27506
2019,"$21,776",N/A,+,N/A,=,"$901,261",https://www.realtor.com/realestateandhomes-detail/1404-Garner-Ave_Austin_TX_78704_M82643-27506
2018,"$19,953",N/A,+,N/A,=,"$819,328",https://www.realtor.com/realestateandhomes-detail/1404-Garner-Ave_Austin_TX_78704_M82643-27506
2017,"$18,272",N/A,+,N/A,=,"$744,844",https://www.realtor.com/realestateandhomes-detail/1404-Garner-Ave_Austin_TX_78704_M82643-27506
2016,"$17,102",N/A,+,N/A,=,"$677,131",https://www.realtor.com/realestateandhomes-detail/1404-Garner-Ave_Austin_TX_78704_M82643-27506
2022,"$19,855","$450,000",+,"$155,695",=,"$605,695",https://www.realtor.com/realestateandhomes-detail/2100-Peach-Tree-St_Austin_TX_78704_M86021-27712
2021,"$13,486","$450,000",+,"$65,447",=,"$515,447",https://www.realtor.com/realestateandhomes-detail/2100-Peach-Tree-St_Austin_TX_78704_M86021-27712
2020,"$11,055","$450,000",+,"$65,447",=,"$515,447",https://www.realtor.com/realestateandhomes-detail/2100-Peach-Tree-St_Austin_TX_78704_M86021-27712
2019,"$11,321","$450,000",+,"$62,235",=,"$512,235",https://www.realtor.com/realestateandhomes-detail/2100-Peach-Tree-St_Austin_TX_78704_M86021-27712
2018,"$11,340","$400,000",+,"$74,100",=,"$474,100",https://www.realtor.com/realestateandhomes-detail/2100-Peach-Tree-St_Austin_TX_78704_M86021-27712
2017,"$10,573","$400,000",+,"$58,624",=,"$458,624",https://www.realtor.com/realestateandhomes-detail/2100-Peach-Tree-St_Austin_TX_78704_M86021-27712
2016,"$10,530","$285,000",+,"$109,316",=,"$394,316",https://www.realtor.com/realestateandhomes-detail/2100-Peach-Tree-St_Austin_TX_78704_M86021-27712
2022,"$24,230","$500,000",+,"$196,985",=,"$696,985",https://www.realtor.com/realestateandhomes-detail/1406-Folts-Ave_Austin_TX_78704_M72032-37634
2021,"$15,519","$500,000",+,"$83,929",=,"$583,929",https://www.realtor.com/realestateandhomes-detail/1406-Folts-Ave_Austin_TX_78704_M72032-37634
2020,"$12,524","$500,000",+,"$83,929",=,"$583,929",https://www.realtor.com/realestateandhomes-detail/1406-Folts-Ave_Austin_TX_78704_M72032-37634
2019,"$12,826","$500,000",+,"$86,418",=,"$586,418",https://www.realtor.com/realestateandhomes-detail/1406-Folts-Ave_Austin_TX_78704_M72032-37634
2018,"$12,983","$400,000",+,"$102,777",=,"$502,777",https://www.realtor.com/realestateandhomes-detail/1406-Folts-Ave_Austin_TX_78704_M72032-37634
2017,"$11,212","$400,000",+,"$81,311",=,"$481,311",https://www.realtor.com/realestateandhomes-detail/1406-Folts-Ave_Austin_TX_78704_M72032-37634
2016,"$11,051","$285,000",+,"$151,615",=,"$436,615",https://www.realtor.com/realestateandhomes-detail/1406-Folts-Ave_Austin_TX_78704_M72032-37634
2022,"$24,039","$500,000",+,N/A,=,"$500,000",https://www.realtor.com/realestateandhomes-detail/1901-Hether-St_Austin_TX_78704_M81929-57907
2021,"$11,133","$500,000",+,"$188,260",=,"$688,260",https://www.realtor.com/realestateandhomes-detail/1901-Hether-St_Austin_TX_78704_M81929-57907
2020,"$14,762","$500,000",+,"$188,260",=,"$688,260",https://www.realtor.com/realestateandhomes-detail/1901-Hether-St_Austin_TX_78704_M81929-57907
